movie_id,title,runtime,rating_encoded,is_korean,genre,open_date,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,total_audience,log_audience,hit_class,trend_pre7_avg,trend_pre7_max,trend_growth_rate,relative_search_share,is_covid_period,is_peak_season,ticket_price_pre30,genre_avg_audi,is_new_director,is_new_lead,is_new_producer,is_new_distributor
19818004,불의 전차,123.0,1.0,0.0,드라마,2016-06-16,6.0,3.0,0,0,0,0,2.639747760544838,0,2.7117861156806646,0,0.0,2.561821621149574,8,2.696497167279993,0,0,2.6590765997269044,44957,10.713483999592366,0,0.2471428571428571,0.4,2.829880043620502,0.0069253541975047,0,0,7993.272092618742,12.861455280781067,0,0,0,0
19838068,해탄적일천,166.0,1.0,0.0,드라마,2022-01-06,1.0,3.0,0,1,0,0,2.1502265520950354,1,2.7117861156806646,0,0.0,2.636591272544152,2,2.696497167279993,0,3,2.5947990147827307,2294,7.738488122494646,0,0.0814285714285714,0.15,3.015873015873016,0.0091319052987598,1,1,9859.892076235848,12.984165789159736,0,0,0,0
19978805,큐어,111.0,2.0,0.0,공포(호러),2022-07-06,7.0,2.0,1,0,0,0,2.2667008308144205,1,2.5532535662943676,0,139921.0,2.241683942962477,3,2.696497167279993,0,2,2.642135179094613,13798,9.532351404751555,0,0.1471428571428571,0.28,3.503401360544218,0.0089064819396338,0,1,10234.18826576278,12.683619989535167,0,0,0,0
19988717,명탐정 코난: 14번째 표적,99.0,1.0,0.0,애니메이션,2025-02-14,2.0,4.0,0,0,0,0,2.5115105204274037,1,2.7117861156806646,0,0.0,2.6716758823916664,113,2.696497167279993,0,1,2.5601742680099386,71897,11.183003726910572,0,0.0071428571428571,0.02,1.7857142857142858,0.0006773538044705,0,0,9532.658865967816,12.657032532999224,0,0,0,0
20021031,남색대문,83.0,1.0,0.0,드라마,2021-08-18,8.0,2.0,1,0,0,1,2.639747760544838,0,2.5156394675421874,1,150325.0,2.5232771678282893,16,2.696497167279993,0,5,2.6157019539913122,7174,8.878358040627822,0,0.1442857142857143,0.26,2.648282097649187,0.0183443631719493,1,1,9587.370926891785,13.044063191821621,0,0,0,0
20051060,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,99.0,0.0,0.0,애니메이션,2025-01-22,1.0,2.0,0,1,0,2,2.605914058332118,18,2.5821946055318565,5,300134.28571428574,2.669898003906895,43,2.696497167279993,0,4,2.527591476405055,168709,12.03593654360002,0,0.01,0.02,3.4285714285714284,0.0013026648801548,0,1,9353.52070933065,12.666877920486552,0,0,0,0
20068576,그날의 분위기,103.0,2.0,1.0,멜로/로맨스,2016-01-14,1.0,3.0,0,1,0,0,2.639747760544838,0,2.799676245976406,3,5852546.25,2.6159578452929537,0,2.563973453923875,1,0,2.6418601446635743,650145,13.384952232034175,0,0.0,0.0,0.0,0.0,0,1,7714.192335242195,12.95600886616442,0,0,0,0
20078386,블라인드,102.0,2.0,0.0,드라마,2021-01-14,1.0,3.0,0,1,0,0,2.639747760544838,0,2.7117861156806646,0,0.0,2.6159578452929537,0,2.696497167279993,0,5,2.3582751251252456,17208,9.753187781764913,0,0.62,0.67,1.1025489033787788,0.5522094926350246,1,1,8708.708054523353,13.173502555676318,0,0,0,0
20078561,명탐정 코난:감벽의 관,106.0,1.0,0.0,애니메이션,2018-02-14,2.0,2.0,0,0,0,2,2.611735201816415,7,2.665912011255515,3,1038399.25,2.6841012720009148,84,2.696497167279993,0,2,2.619638861363526,236035,12.371739614747224,0,0.1857142857142857,0.34,1.3622074746769126,0.0122027627770981,0,0,7812.547884376821,12.789726919295147,0,0,0,0
20080850,공포분자,108.0,2.0,0.0,드라마,2020-09-17,9.0,3.0,0,0,0,0,2.639747760544838,0,2.7117861156806646,0,0.0,2.684874055487292,1,2.696497167279993,0,8,2.502064194607456,1971,7.586803535162581,0,0.0614285714285714,0.21,2.7505330490405115,0.0082491997045062,1,0,8714.346034377564,13.257154352903386,0,0,0,0
